Packing List in accordance with Invoice No. 20250223,,,,,
,,,,,
Container No. TBD,,,,CIF LOS ANGELES,
,,,,,
Unknown Product,,,,,
 acc. to Sample No. 1,,,,,
,,,,,
Bale No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,308.80 kg,4.00 kg,304.80 kg,2.2046,671.96lbs
2,318.80 kg,5.00 kg,313.80 kg,2.2046,691.80lbs
3,312.40 kg,7.00 kg,305.40 kg,2.2046,673.28lbs
4,313.20 kg,8.00 kg,305.20 kg,2.2046,672.84lbs
5,314.40 kg,9.00 kg,305.40 kg,2.2046,673.28lbs
6,310.00 kg,10.00 kg,300.00 kg,2.2046,661.38lbs
7,315.20 kg,11.00 kg,304.20 kg,2.2046,670.64lbs
8,312.60 kg,12.00 kg,300.60 kg,2.2046,662.70lbs
9,285.60 kg,13.00 kg,272.60 kg,2.2046,600.97lbs
10,306.80 kg,14.00 kg,292.80 kg,2.2046,645.51lbs
11,302.00 kg,15.00 kg,287.00 kg,2.2046,632.72lbs
12,280.40 kg,16.00 kg,264.40 kg,2.2046,582.90lbs
13,290.60 kg,17.00 kg,273.60 kg,2.2046,603.18lbs
13 Bales,3970.80 kg,141.00 kg,3829.80 kg,,8443.18lbs
,8754.03lbs,,8443.18lbs,,
,,,,,
,,,,,
Unknown Product,,,,,
 acc. to Sample No. 2,,,,,
,,,,,
Bale No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,448.80 kg,8.00 kg,440.80 kg,2.2046,971.79lbs
2,444.40 kg,9.00 kg,435.40 kg,2.2046,959.88lbs
3,444.00 kg,10.00 kg,434.00 kg,2.2046,956.80lbs
4,444.40 kg,11.00 kg,433.40 kg,2.2046,955.47lbs
5,445.80 kg,12.00 kg,433.80 kg,2.2046,956.36lbs
6,449.20 kg,13.00 kg,436.20 kg,2.2046,961.65lbs
7,491.00 kg,14.00 kg,477.00 kg,2.2046,1051.59lbs
8,500.40 kg,15.00 kg,485.40 kg,2.2046,1070.11lbs
9,514.80 kg,16.00 kg,498.80 kg,2.2046,1099.65lbs
9 Bales,4182.80 kg,108.00 kg,4074.80 kg,,8983.30lbs
,9221.40lbs,,8983.30lbs,,
,,,,,
,,,,,
Unknown Product,,,,,
 acc. to Sample No. 3,,,,,
,,,,,
Bale No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,156.40 kg,4.00 kg,152.40 kg,2.2046,335.98lbs
2,158.80 kg,5.00 kg,153.80 kg,2.2046,339.07lbs
3,158.00 kg,6.00 kg,152.00 kg,2.2046,335.10lbs
4,157.60 kg,7.00 kg,150.60 kg,2.2046,332.01lbs
5,156.80 kg,8.00 kg,148.80 kg,2.2046,328.04lbs
6,160.80 kg,9.00 kg,151.80 kg,2.2046,334.66lbs
7,157.20 kg,10.00 kg,147.20 kg,2.2046,324.52lbs
8,146.60 kg,1.00 kg,145.60 kg,2.2046,320.99lbs
9,126.40 kg,2.00 kg,124.40 kg,2.2046,274.25lbs
9 Bales,1378.60 kg,52.00 kg,1326.60 kg,,2924.62lbs
,3039.26lbs,,2924.62lbs,,
,,,,,
,,,,,